step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
192,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
193,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
194,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
195,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
196,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
197,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
198,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
199,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
200,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
201,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
202,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
203,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
204,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
205,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
206,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
207,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
208,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
209,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
210,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
211,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
212,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
213,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
214,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
215,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
216,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
217,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
218,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
219,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
220,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
221,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
222,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
223,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
224,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
225,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
226,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
227,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
228,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
229,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
230,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
231,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
232,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
233,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
234,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
235,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
236,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
237,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
238,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
239,carrier_only,7,0,0.41909722222222223,0,0.0,1,1.0,102.30235484310883
0,carrier_only,21,0,0.008796296296296297,24,32.0,1,1.0,11.743577619240815
1,carrier_only,21,0,0.010416666666666666,24,32.0,1,1.0,12.34010504964782
2,carrier_only,21,0,0.012268518518518519,24,32.0,1,1.0,12.823360139920094
3,carrier_only,21,0,0.013888888888888888,24,32.0,1,1.0,13.406740917064061
4,carrier_only,21,0,0.01574074074074074,24,32.0,1,1.0,14.373231593028443
5,carrier_only,21,0,0.018171296296296297,24,32.0,1,1.0,15.064335461313512
6,carrier_only,21,0,0.02048611111111111,24,32.0,1,1.0,15.71873835461078
7,carrier_only,21,0,0.022337962962962962,24,32.0,1,1.0,16.548172197688313
8,carrier_only,21,0,0.024652777777777777,24,32.0,1,1.0,17.474455837945875
9,carrier_only,21,0,0.027199074074074073,24,32.0,1,1.0,18.268351832363656
10,carrier_only,21,0,0.02974537037037037,24,32.0,1,1.0,19.057305244877185
11,carrier_only,21,0,0.03194444444444444,24,32.0,1,1.0,19.809290384996572
12,carrier_only,21,0,0.03460648148148148,24,32.0,1,1.0,20.59388454118244
13,carrier_only,21,0,0.03715277777777778,24,32.0,1,1.0,21.36310508249279
14,carrier_only,21,0,0.040393518518518516,24,32.0,1,1.0,22.34883308909575
15,carrier_only,21,0,0.043055555555555555,24,32.0,1,1.0,23.459385110511374
16,carrier_only,21,0,0.046064814814814815,24,32.0,1,1.0,24.196331811409358
17,carrier_only,21,0,0.04918981481481482,24,32.0,1,1.0,25.225055042163255
18,carrier_only,21,0,0.05196759259259259,24,32.0,1,1.0,26.169579782509995
19,carrier_only,21,0,0.05439814814814815,24,32.0,1,1.0,26.779925060914227
20,carrier_only,21,0,0.05717592592592593,24,32.0,1,1.0,27.415834393588877
21,carrier_only,21,0,0.05925925925925926,24,32.0,1,1.0,27.733197922958652
22,carrier_only,21,0,0.061342592592592594,24,32.0,1,1.0,28.10991474959899
23,carrier_only,21,0,0.06458333333333334,24,32.0,1,1.0,29.023011986689497
24,carrier_only,21,0,0.06747685185185186,24,32.0,1,1.0,30.157892620241405
25,carrier_only,21,0,0.07094907407407407,24,31.997445911401257,1,1.0,31.242667807533664
26,carrier_only,21,0,0.07418981481481482,24,31.989669375369953,1,1.0,32.02481414209547
27,carrier_only,21,0,0.07685185185185185,24,31.991752560331715,1,1.0,32.259803660911224
28,carrier_only,21,0,0.07951388888888888,24,31.98386599545509,1,1.0,32.772988571834105
29,carrier_only,21,0,0.08217592592592593,24,31.97095698327861,1,1.0,33.429655955537754
30,carrier_only,21,0,0.0849537037037037,24,31.953245540383545,1,1.0,34.277673292242746
31,carrier_only,21,0,0.08784722222222222,24,31.925471399361086,1,1.0,34.73431496405433
32,carrier_only,21,0,0.09166666666666666,24,31.89395138249638,1,1.0,35.40464695855643
33,carrier_only,21,0,0.09502314814814815,24,31.86458388555973,1,1.0,35.7960503128315
